hook;CLASShand;ATTACK10;DEFENSE0;LUCK2;HEALTH0;ATTACKSPEED3;SPEED0;ID2;MAX_HEALTH0
potion;CLASSheal;ATTACK0;DEFENSE0;LUCK0;HEALTH10;ATTACKSPEED0;SPEED0;ID5;MAX_HEALTH0
helmet;CLASShelmet;ATTACK0;DEFENSE3;LUCK5;HEALTH0;ATTACKSPEED0;SPEED0;ID1;MAX_HEALTH0
chestplate;CLASSchest;ATTACK0;DEFENSE15;LUCK0;HEALTH0;ATTACKSPEED0;SPEED0;ID3;MAX_HEALTH0
pant;CLASSfoot;ATTACK0;DEFENSE3;LUCK0;HEALTH0;ATTACKSPEED0;SPEED10;ID4;MAX_HEALTH0
gourdin;CLASSweapon;ATTACK10;DEFENSE0;LUCK0;HEALTH0;ATTACKSPEED2;SPEED0;ID0;MAX_HEALTH0
sword;CLASSweapon;ATTACK30;DEFENSE0;LUCK0;HEALTH0;ATTACKSPEED2;SPEED0;ID7;MAX_HEALTH0
fragment 1/3;CLASSfragment;ATTACK0;DEFENSE0;LUCK0;HEALTH0;ATTACKSPEED0;SPEED0;ID6;MAX_HEALTH0
fragment 2/3;CLASSfragment;ATTACK0;DEFENSE0;LUCK0;HEALTH0;ATTACKSPEED0;SPEED0;ID6;MAX_HEALTH0
fragment 3/3;CLASSfragment;ATTACK0;DEFENSE0;LUCK0;HEALTH0;ATTACKSPEED0;SPEED0;ID6;MAX_HEALTH0
rainbow;CLASSfragment;ATTACK0;DEFENSE0;LUCK0;HEALTH0;ATTACKSPEED0;SPEED0;ID6;MAX_HEALTH0
